_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
2339,Fiscal Year 2018,UH Manoa,260702,Entomology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Entomology,,Master's Degrees,6
2340,Fiscal Year 2018,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, General Science",Bachelor's Degrees,2
2341,Fiscal Year 2018,Maui College,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Certs of Achievement,3
2342,Fiscal Year 2018,Leeward CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Certs of Achievement,13
2343,Fiscal Year 2018,UH Manoa,160402,Russian,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Russian,Russian,Bachelor's Degrees,1
2344,Fiscal Year 2018,UH Manoa,513808,Nursing Science,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Professional Nursing,Nursing (PhD),,Doctoral Degrees,7
2345,Fiscal Year 2018,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Elec & Net Tech,Comp Electronics & Network Tech,,Other,1
2346,Fiscal Year 2018,Honolulu CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Associate Degrees,12
2347,Fiscal Year 2018,Leeward CC,110801,"Digital Media, Web Page Design",Career & Tech Ed,Technology,Digital Media Production,,,Associate Degrees,22
2348,Fiscal Year 2018,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Sociology,,,Bachelor's Degrees,7
2349,Fiscal Year 2018,Hawai`i CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,19
2350,Fiscal Year 2018,UH Manoa,161404,Filipino/Tagalog Lang and Lit,College of Arts & Sciences,"Lang, Ling & Lit",Indo Pac Lang & Lit,Philippine Lang and Lit,,Bachelor's Degrees,8
2351,Fiscal Year 2018,UH Manoa,440401,Public Administration,College of Arts & Sciences,Social Sciences,Public Admin,Public Administration,,Master's Degrees,19
2352,Fiscal Year 2018,UH Hilo,513818,Nursing Practice,College of Arts & Sciences,School of Nursing,Nursing Practice,,,Other,3
2353,Fiscal Year 2018,Honolulu CC,470608,Aircraft Powerplant Technology,Career & Tech Ed,Technology,Aeronautics Maint Tech,,,Associate Degrees,8
2354,Fiscal Year 2018,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Doctoral Degrees,2
2355,Fiscal Year 2018,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Doctoral Degrees,1
2356,Fiscal Year 2018,UH Manoa,500703,"Art Hist, Criticism & Conserv",College of Arts & Sciences,Arts & Humanities,Art,Art History,,Master's Degrees,2
2357,Fiscal Year 2018,Leeward CC,110801,"Digital Media, Web Page Design",Career & Tech Ed,Technology,Digital Media Production,,,Certs of Achievement,13
2358,Fiscal Year 2018,Hawai`i CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,24
2359,Fiscal Year 2019,UH Manoa,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology Program,Biology,,Bachelor's Degrees,127
2360,Fiscal Year 2019,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Bachelor's Degrees,68
2361,Fiscal Year 2019,UH Manoa,513801,Registered Nursing/Reg Nurse,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Professional Nursing,Nursing,,Master's Degrees,28
2362,Fiscal Year 2019,UH Hilo,400601,Geology,College of Arts & Sciences,Natural Sciences,Geology,,,Bachelor's Degrees,10
2363,Fiscal Year 2019,UH West O`ahu,130101,"Education, General",Education,Education,Education,Elementary Education,,Bachelor's Degrees,19
2364,Fiscal Year 2019,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,13
2365,Fiscal Year 2019,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Associate Degrees,10
2366,Fiscal Year 2019,Maui College,470603,Auto Body Repair & Painting,Career & Tech Ed,Technology,Auto Body Repair & Painting,,,Associate Degrees,3
2367,Fiscal Year 2019,Honolulu CC,470616,Boat Maintenance & Repair,Career & Tech Ed,Technology,Small Vessel Fabrication & Repair,,,Associate Degrees,2
2368,Fiscal Year 2019,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Master's Degrees,11
2369,Fiscal Year 2019,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Social Sciences,Communications,Communication,,Bachelor's Degrees,97
2370,Fiscal Year 2019,Kapi`olani CC,511004,Medical Laboratory Technician,Career & Tech Ed,Health Services,Medical Lab Technician,,,Associate Degrees,13
2371,Fiscal Year 2019,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Creative Media,,,Bachelor's Degrees,16
2372,Fiscal Year 2019,Maui College,100304,"Animation, Interactive Tech, V",Career & Tech Ed,Humanities,Creative Media,,,Associate Degrees,3
2373,Fiscal Year 2019,Hawai`i CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,6
2374,Fiscal Year 2019,Leeward CC,510707,Health Info/Med Records Tech,Career & Tech Ed,Business Education,Health Information Technology,,,Certs of Achievement,12
2375,Fiscal Year 2019,UH Hilo,050127,Japanese Studies,College of Arts & Sciences,Arts & Humanities,Japanese Studies,,,Bachelor's Degrees,8
2376,Fiscal Year 2019,Hawai`i CC,030599,Trop Forest Eco Mgmt & Agrofor,Career & Tech Ed,Technology,Trop Forest Ecosys & Agrof Mgt,,,Associate Degrees,5
2377,Fiscal Year 2019,UH Manoa,011105,Plant & Environmtl Protect Sci,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Plant & Environ Protection Sci,,Bachelor's Degrees,2
2378,Fiscal Year 2019,UH Hilo,110701,Computer Science,College of Arts & Sciences,Natural Sciences,Computer Science,,,Bachelor's Degrees,11
2379,Fiscal Year 2019,UH Manoa,400404,Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Meteorology,,,Doctoral Degrees,1
2380,Fiscal Year 2019,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,4
2381,Fiscal Year 2019,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, English",Bachelor's Degrees,7
2382,Fiscal Year 2019,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Master's Degrees,6
2383,Fiscal Year 2019,Kapi`olani CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,3
2384,Fiscal Year 2019,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Social Sciences,Communications,Communication,,Master's Degrees,5
2385,Fiscal Year 2019,Honolulu CC,470201,Refrigeration & Air Cond,Career & Tech Ed,Technology,Refrigeration & Air Cond Tech,,,Associate Degrees,7
2386,Fiscal Year 2019,UH Manoa,400202,Astrophysics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Astrophysics,,Bachelor's Degrees,3
2387,Fiscal Year 2019,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,1
2388,Fiscal Year 2020,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Master's Degrees,6
2389,Fiscal Year 2020,UH Manoa,050299,"Ethnic & Cult Studies, Oth",College of Arts & Sciences,Social Sciences,Ethnic Studies,,,Bachelor's Degrees,11
2390,Fiscal Year 2020,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Bachelor's Degrees,24
2391,Fiscal Year 2020,UH Hilo,130101,"Education, General",College of Arts & Sciences,Social Sciences,Education,Education,,Master's Degrees,11
2392,Fiscal Year 2020,UH Manoa,160303,Korean,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Korean,Korean,Bachelor's Degrees,15
2393,Fiscal Year 2020,UH Manoa,030201,Natural Resource Mgmt & Policy,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Nat Res & Env Mgt,Natural Res & Environmentl Mgt,,Bachelor's Degrees,31
2394,Fiscal Year 2020,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Bachelor's Degrees,3
2395,Fiscal Year 2020,Honolulu CC,460302,Elec Install & Maint Tech,Career & Tech Ed,Technology,Electrical Install/Maint Tech,,,Certs of Achievement,1
2396,Fiscal Year 2020,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Security&Network Tech,Comp Security&Network Tech,,Certs of Achievement,32
2397,Fiscal Year 2020,UH Hilo,260101,"Biology/Biological Sci, Gen",College of Arts & Sciences,Natural Sciences,Biology,,,Bachelor's Degrees,32
2398,Fiscal Year 2020,Kapi`olani CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,85
2399,Fiscal Year 2020,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Bachelor's Degrees,84
2400,Fiscal Year 2020,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Biological Sci",Bachelor's Degrees,2
2401,Fiscal Year 2020,Kapi`olani CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,6
2402,Fiscal Year 2020,Kapi`olani CC,220302,Paralegal,Career & Tech Ed,Public Services,Paralegal,,,Associate Degrees,20
2403,Fiscal Year 2020,Kaua`i CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,44
2404,Fiscal Year 2020,Maui College,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Associate Degrees,1
2405,Fiscal Year 2020,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,16
2406,Fiscal Year 2020,Kapi`olani CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,58
2407,Fiscal Year 2020,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Molecular Biosci & Bioeng,Molecular Bioscience & Bioengr,,Master's Degrees,3
2408,Fiscal Year 2020,UH Manoa,250101,Library Studies,College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Library & Information Science,Library & Information Science,Master's Degrees,17
2409,Fiscal Year 2020,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,15
2410,Fiscal Year 2020,UH Manoa,511005,Medical Technology,School of Medicine,School of Medicine,Medical Technology,,,Bachelor's Degrees,8
2411,Fiscal Year 2020,Kaua`i CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Technology,,,Associate Degrees,4
2412,Fiscal Year 2020,UH Hilo,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics,,,Bachelor's Degrees,3
2413,Fiscal Year 2020,Maui College,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,8
2414,Fiscal Year 2020,Honolulu CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,Early Childhood Education,,Certs of Achievement,3
2415,Fiscal Year 2020,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Creative Media,,,Bachelor's Degrees,2
2416,Fiscal Year 2020,Hawai`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,3
2417,Fiscal Year 2020,Hawai`i CC,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,,,Associate Degrees,6
2418,Fiscal Year 2020,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Business Administration,,,Bachelor's Degrees,2
2419,Fiscal Year 2020,Kapi`olani CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,4
2420,Fiscal Year 2021,UH Manoa,140801,Civil Engineering,College of Engineering,Engineering,Civil Engineering,,,Bachelor's Degrees,75
2421,Fiscal Year 2021,Kapi`olani CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,95
2422,Fiscal Year 2021,Leeward CC,131501,Teacher Assistant/Aide,Career & Tech Ed,Teaching,Teaching,,,Associate Degrees,76
2423,Fiscal Year 2021,UH Hilo,240101,Liberal Arts,College of Arts & Sciences,Interdisciplinary Majors,Liberal Studies,,,Bachelor's Degrees,5
2424,Fiscal Year 2020,Maui College,520302,Acctg Technician & Bookkeeping,Career & Tech Ed,Business Education,Accounting,,,Certs of Achievement,1
2425,Fiscal Year 2020,Kapi`olani CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Certs of Achievement,1
2426,Fiscal Year 2020,UH Hilo,301801,Natural Science,College of Arts & Sciences,Natural Sciences,Natural Science,,,Bachelor's Degrees,2
2427,Fiscal Year 2021,UH Manoa,260305,Plant Pathology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Tropical Plant Pathology,Tropical Plant Pathology,Master's Degrees,6
2428,Fiscal Year 2021,UH Manoa,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Doctoral Degrees,8
2429,Fiscal Year 2021,Hawai`i CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Associate Degrees,2
2430,Fiscal Year 2021,UH Manoa,301901,Food Science & Human Nutrition,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Food Science & Human Nutrition,,Bachelor's Degrees,16
2431,Fiscal Year 2021,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Arts & Humanities,Communicology,,,Bachelor's Degrees,35
2432,Fiscal Year 2021,UH Manoa,130401,Educational Administration,College of Education,Education,Educational Administration,,,Master's Degrees,22
2433,Fiscal Year 2021,UH Manoa,100304,"Animation, Interactive Tech, V",College of Arts & Sciences,Arts & Humanities,Creative Media,,,Bachelor's Degrees,59
2434,Fiscal Year 2021,UH Manoa,240101,Liberal Arts,College of Arts & Sciences,Other Arts & Sciences,Interdisciplinary Studies,Interdisciplinary Studies,,Bachelor's Degrees,44
2435,Fiscal Year 2021,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Associate Degrees,2
2436,Fiscal Year 2021,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,71
2437,Fiscal Year 2021,UH Manoa,450201,Anthropology,College of Arts & Sciences,Social Sciences,Anthropology,,,Doctoral Degrees,3
2438,Fiscal Year 2021,UH Hilo,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Bachelor's Degrees,50
2439,Fiscal Year 2021,UH Hilo,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,9
2440,Fiscal Year 2021,UH Manoa,260301,Botany,College of Arts & Sciences,Natural Sciences,Life Sciences,Botany,,Doctoral Degrees,1
2441,Fiscal Year 2021,Kapi`olani CC,510803,Occupational Therapy Assistant,Career & Tech Ed,Health Services,Occupational Therapy Assistant,,,Associate Degrees,8
2442,Fiscal Year 2021,UH Hilo,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Bachelor's Degrees,18
2443,Fiscal Year 2021,Leeward CC,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Associate Degrees,9
2444,Fiscal Year 2021,UH Manoa,260502,Microbiology,College of Arts & Sciences,Natural Sciences,Life Sciences,Microbiology,,Doctoral Degrees,1
2445,Fiscal Year 2021,UH Manoa,450701,Geography,College of Arts & Sciences,Social Sciences,Geography,Geography,,Master's Degrees,10
2446,Fiscal Year 2021,Kaua`i CC,520201,"Business Admin & Mgmt, General",Career & Tech Ed,Business Education,Business,,,Certs of Achievement,7
2447,Fiscal Year 2021,Leeward CC,100202,Television Production,Career & Tech Ed,Technology,Television Production,,,Certs of Achievement,3
2448,Fiscal Year 2021,UH Manoa,451101,Sociology,College of Arts & Sciences,Social Sciences,Sociology,,,Doctoral Degrees,2
2449,Fiscal Year 2021,UH Hilo,450601,Economics,Col of Business & Economics,Business & Economics,Economics,,,Bachelor's Degrees,2
2450,Fiscal Year 2021,Kapi`olani CC,520901,"Hospitality Admin/Mgmt, Ge",Career & Tech Ed,Business Education,Hospitality & Tourism,Hospitality & Tourism,,Certs of Achievement,85
2451,Fiscal Year 2021,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Social Work,School of Social Work,Public Health,Public Health,,Doctoral Degrees,2
2452,Fiscal Year 2021,Maui College,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,1
2453,Fiscal Year 2021,UH Hilo,400201,Astronomy,College of Arts & Sciences,Natural Sciences,Astronomy,,,Bachelor's Degrees,3
2454,Fiscal Year 2021,UH Manoa,400801,Physics,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Physics,,Bachelor's Degrees,2
2455,Fiscal Year 2021,Maui College,520401,Adm Asst/Secretarial Science,Career & Tech Ed,Business Education,Business Tech,Business Technology,,Certs of Achievement,2
2456,Fiscal Year 2021,Hawai`i CC,010606,Plant Nursery Ops & Mgmt,Career & Tech Ed,Technology,Agriculture,,,Certs of Achievement,1
2457,Fiscal Year 2021,Hawai`i CC,480508,Welding,Career & Tech Ed,Technology,"Mach, Weld & Ind Mech Tech","Mach, Welding & Ind Mech Tech",,Associate Degrees,3
2458,Fiscal Year 2021,Kaua`i CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,2
2459,Fiscal Year 2021,Kaua`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Certs of Achievement,9
2460,Fiscal Year 2022,UH Manoa,260701,Zoology,College of Natural Sciences,Natural Sciences,Life Sciences,Zoology,,Doctoral Degrees,6
